,game,game_id,player_id,status,start_time,end_time,player_hand,player_hand_value,banker_hand,banker_hand_value,last_action,player_wager,player_payout,game_outcome,player_bet,player_bet_outcome
0,Baccarat,GID-3V69LC,PID-000006,Success,2023-08-03T11:49:07,2023-08-03T11:50:55,"[{'value': '4', 'rank': 'Clubs'}, {'value': '9', 'rank': 'Clubs'}, {'value': '4', 'rank': 'Hearts'}]",7,"[{'value': '7', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Spades'}]",7,initial_deal,316.0,2528.0,It's a tie!,Tie,Player bet on tie wins!
1,Baccarat,GID-41CXUS,PID-000020,Success,2023-07-06T05:40:41,2023-07-06T05:42:25,"[{'value': '9', 'rank': 'Diamonds'}, {'value': '6', 'rank': 'Clubs'}, {'value': '6', 'rank': 'Hearts'}]",1,"[{'value': '4', 'rank': 'Spades'}, {'value': 'Q', 'rank': 'Spades'}, {'value': '2', 'rank': 'Diamonds'}]",6,banker_draw,307.0,-307.0,Banker wins!,Tie,Player bet on tie losses!
2,Baccarat,GID-X7YR8E,PID-000007,Success,2023-07-28T22:05:11,2023-07-28T22:07:43,"[{'value': '7', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Clubs'}]",7,"[{'value': '4', 'rank': 'Hearts'}, {'value': '5', 'rank': 'Clubs'}]",9,initial_deal,800.0,-800.0,Banker wins!,Player,Player bet on player losses!
3,Baccarat,GID-7JCP42,PID-000033,Success,2023-09-02T16:07:01,2023-09-02T16:10:13,"[{'value': '3', 'rank': 'Clubs'}, {'value': '3', 'rank': 'Spades'}]",6,"[{'value': '10', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Clubs'}]",9,initial_deal,237.0,225.14999999999998,Banker wins!,Banker,Player bet on banker wins!
4,Baccarat,GID-A30EKU,PID-000033,Success,2023-11-07T02:51:47,2023-11-07T02:54:37,"[{'value': '2', 'rank': 'Diamonds'}, {'value': '4', 'rank': 'Diamonds'}]",6,"[{'value': 'K', 'rank': 'Hearts'}, {'value': '9', 'rank': 'Diamonds'}]",9,initial_deal,919.0,-919.0,Banker wins!,Tie,Player bet on tie losses!
5,Baccarat,GID-XJDOEU,PID-000033,Success,2024-06-12T13:38:24,2024-06-12T13:41:21,"[{'value': '7', 'rank': 'Diamonds'}, {'value': 'J', 'rank': 'Diamonds'}]",7,"[{'value': 'A', 'rank': 'Hearts'}, {'value': '8', 'rank': 'Diamonds'}]",9,initial_deal,598.0,568.1,Banker wins!,Banker,Player bet on banker wins!
6,Baccarat,GID-YL0IMD,PID-000050,Success,2023-02-13T16:39:12,2023-02-13T16:42:44,"[{'value': '3', 'rank': 'Spades'}, {'value': 'J', 'rank': 'Spades'}, {'value': '8', 'rank': 'Hearts'}]",1,"[{'value': '9', 'rank': 'Clubs'}, {'value': 'K', 'rank': 'Spades'}]",9,initial_deal,668.0,-668.0,Banker wins!,Tie,Player bet on tie losses!
7,Baccarat,GID-VIWPZJ,PID-000020,Success,2024-03-21T11:31:54,2024-03-21T11:34:50,"[{'value': '4', 'rank': 'Hearts'}, {'value': 'Q', 'rank': 'Hearts'}, {'value': '10', 'rank': 'Clubs'}]",4,"[{'value': '5', 'rank': 'Clubs'}, {'value': '3', 'rank': 'Spades'}]",8,initial_deal,638.0,-638.0,Banker wins!,Tie,Player bet on tie losses!
8,Baccarat,GID-OCQ3DY,PID-000004,Success,2023-05-11T18:19:06,2023-05-11T18:22:32,"[{'value': '8', 'rank': 'Hearts'}, {'value': '10', 'rank': 'Diamonds'}]",8,"[{'value': '4', 'rank': 'Diamonds'}, {'value': 'J', 'rank': 'Diamonds'}, {'value': '9', 'rank': 'Clubs'}]",3,banker_draw,407.0,407.0,Player wins!,Player,Player bet on player wins!
9,Baccarat,GID-HQAV9D,PID-000013,Success,2024-03-04T05:51:02,2024-03-04T05:53:24,"[{'value': 'Q', 'rank': 'Hearts'}, {'value': '9', 'rank': 'Spades'}]",9,"[{'value': '3', 'rank': 'Hearts'}, {'value': '9', 'rank': 'Clubs'}, {'value': '6', 'rank': 'Diamonds'}]",8,banker_draw,93.0,-93.0,Player wins!,Tie,Player bet on tie losses!
10,Baccarat,GID-C5YVKR,PID-000029,Success,2024-01-06T07:03:54,2024-01-06T07:07:50,"[{'value': '6', 'rank': 'Hearts'}, {'value': 'K', 'rank': 'Clubs'}]",6,"[{'value': '3', 'rank': 'Hearts'}, {'value': '9', 'rank': 'Spades'}, {'value': 'A', 'rank': 'Clubs'}]",3,banker_draw,356.0,356.0,Player wins!,Player,Player bet on player wins!
11,Baccarat,GID-SFZ4XW,PID-000044,Success,2023-07-10T23:56:34,2023-07-10T23:59:12,"[{'value': '9', 'rank': 'Diamonds'}, {'value': '10', 'rank': 'Diamonds'}]",9,"[{'value': '10', 'rank': 'Hearts'}, {'value': '8', 'rank': 'Diamonds'}]",8,initial_deal,712.0,-712.0,Player wins!,Banker,Player bet on banker losses!
12,Baccarat,GID-LDD522,PID-000014,Success,2023-11-10T03:42:20,2023-11-10T03:44:18,"[{'value': 'J', 'rank': 'Diamonds'}, {'value': 'J', 'rank': 'Spades'}, {'value': 'K', 'rank': 'Diamonds'}]",0,"[{'value': '10', 'rank': 'Hearts'}, {'value': '6', 'rank': 'Clubs'}]",6,initial_deal,309.0,-309.0,Banker wins!,Player,Player bet on player losses!
13,Baccarat,GID-E9159E,PID-000006,Success,2023-01-31T18:01:27,2023-01-31T18:05:08,"[{'value': '10', 'rank': 'Hearts'}, {'value': '9', 'rank': 'Clubs'}]",9,"[{'value': 'Q', 'rank': 'Diamonds'}, {'value': '8', 'rank': 'Clubs'}]",8,initial_deal,744.0,744.0,Player wins!,Player,Player bet on player wins!
