hand_value_id,game_id,player_hand_value,banker_hand_value
HVID-H5X9DL,GID-ZHLCRX,1,3
HVID-IBVSWJ,GID-U3GQXH,5,6
HVID-HLCJSK,GID-QNA9SC,8,8
HVID-5F02QK,GID-QBI1SH,0,8
HVID-K3FVQE,GID-UTZLT1,6,8
HVID-TE3HFL,GID-WM9TFD,5,8
HVID-DBL1V0,GID-6QOJ44,2,7
HVID-HPUAUA,GID-6ESAMI,5,9
HVID-SARWRO,GID-53WAV2,9,8
HVID-BUYS8V,GID-TZ4VZT,6,8
HVID-FJB569,GID-P187T7,7,7
HVID-C6XKT6,GID-CKT0RX,8,0
HVID-6WQADL,GID-9V1TOW,9,7
HVID-MYGZAI,GID-OUWCXY,5,7
HVID-9QUCD0,GID-VIGZM2,2,2
HVID-8QMN9A,GID-MMCA36,0,8
HVID-75I9RD,GID-4SGSCU,6,8
HVID-NKF4G7,GID-JO8X4W,2,9
HVID-IERN8Y,GID-6ABWM9,0,7
HVID-Y14RW3,GID-9OLLRA,9,3
HVID-TJJCAF,GID-79GWDO,4,9
HVID-0CKBNI,GID-267EXH,5,5
HVID-U4JB12,GID-1DREZX,6,9
HVID-F0EIBG,GID-P79DFS,4,0
HVID-UPCETE,GID-U723SU,9,6
HVID-Y97YOW,GID-0DX5A5,0,9
HVID-NNHEU8,GID-73YD4T,1,7
HVID-LSXPKN,GID-OGYRJI,9,7
HVID-L7Q4CV,GID-O8CGWT,4,2
HVID-SKSPME,GID-UWM8C7,1,8
HVID-TOAXWP,GID-WFG0UE,4,9
HVID-0GKVF3,GID-FY1EU9,9,9
HVID-YJYMAW,GID-CADRSM,6,9
HVID-SO2NYE,GID-5HOZQ0,8,0
HVID-Z6D2UY,GID-7W1FFB,9,9
HVID-C16BY5,GID-RL7BA3,6,8
HVID-YQ4FV1,GID-9SSQUH,2,8
HVID-NNU928,GID-JZUYV3,7,7
HVID-07SC0Y,GID-MJ4Z91,0,7
HVID-ZAKX6U,GID-6HUFDG,8,0
HVID-5ARFD1,GID-32HRP2,5,7
HVID-OEJZLC,GID-45V3DT,0,6
